,organizer,call_duration_mins,participants,interaction
422,Angela Jones,49,"['Bradley Tapia,Michael Curry,Eric Campbell,Rachel Moore']",High
423,Mark Green,66,"['Chelsea Gardner,Chad Hicks,Joseph Johnson,Alexandra Scott,Harry Henderson DDS']",Medium
424,Manuel Mack,127,"['James Adams,Robert Delacruz,Veronica Steele,Andrew Leblanc,Jennifer Hill,Deborah Ferrell,Robert May,Karen Baker']",High
425,Michele Rojas,35,"['Alexis Gould,Nicole Palmer,Judith Frederick,Matthew Snyder,James Rubio']",Medium
426,Edward Robertson,135,"['Andrew Campbell,Erin Atkinson,Michelle Pham,Sandy Cooper,Jocelyn Butler,Kristen Mcgee,Catherine Garza,Barbara Evans']",Low
427,Robin Park,171,"['Patricia Lloyd,James Robinson,Ethan Walker,Michael Sanchez,Jennifer Williamson']",Medium
428,Susan Buck,20,"['Heather Hart,Ann Prince,Robert Rodriguez,Erica Moody,Linda Clay,Steven Campbell,Andrew Pineda,Joan Roberson,Christopher Bryant']",High
429,Randy Phillips,119,"['William Garcia,Heather Armstrong']",Low
430,Teresa Reese,96,"['Alyssa Williams,Melissa Price']",Low
431,Dale Nelson,94,"['Sara Blevins,Ashley Smith']",Medium
432,Amanda Cook,78,"['William Woods,Sarah Jones,Tina Smith,Angela Saunders,Matthew Hill,Bianca Mcdonald,Jessica Fry']",Low
433,Mandy Weiss,153,"['Sandra Hardy,Jeffrey Schneider,Tanya Rivas,Samantha Quinn,Stephanie Coleman,Jenny Moore']",Low
434,Elizabeth Harvey,29,"['Alisha Robinson,Colton Rose,Daniel Clark PhD']",Low
435,James Perry,52,"['Craig Proctor,Nancy Daugherty,David Brown,Brittany Carr DDS,Julia Jones,Luis Carlson,Jeffrey May,Jennifer Lin']",High
436,Jeremy Lane,124,"['Kathleen Simon,Margaret Adams,Destiny Morris,Adam Adams,Christopher Woods,Samuel Duncan,Gregory Cox,John Davis,Nicole Cohen']",High
437,Ashley Gill,85,"['Stephen Hooper,Charles Cole,Christopher King,Michael Young']",High
438,Alexander Mcfarland,85,"['Miss Roberta Smith,Brandon Fernandez,Christopher Thomas']",Low
439,Eric Martinez,123,"['Lonnie Gray,Kathryn Tapia,Jennifer Murphy,Mary Bryant,Samantha Craig,Laura Becker,Laura Edwards,Mark Rice']",High
440,Patrick Vargas,132,"['Max Lowery,Timothy Rodriguez,Johnny Hawkins,Joseph Cruz,Sonia Bowman,Kimberly Wallace,Kelly Lewis,Diana Romero']",High
441,Laurie Johnson,106,"['Christy Cabrera,Allison Williams,Stephanie Doyle']",Medium
442,Dana Mathis,8,"['David Kennedy,Vanessa Campos,Catherine Richardson']",Medium
443,Madison Friedman,158,"['Carrie Strickland,Shannon Phillips']",Medium
444,Geoffrey Benson,93,"['Ryan Barr,Jennifer Gray,James Spencer,Bethany Hernandez,Keith Wiley']",Medium
445,Brian Hoffman,85,"['Joshua Montgomery,Heather Mcclure,Anna Hughes,William Martinez,Gabriella Dean,Samuel Mueller,Gwendolyn Garcia,Sarah Martinez']",Medium
446,Sabrina Vasquez,44,"['Alicia Wilson,Paul Crawford,Mike Howard,Ricky Olsen,Sarah Robertson,David Henderson,Juan Hayes']",Medium
447,Laura Barnes,42,"['Brian Peterson,Matthew Hopkins,Joshua Adams,Tracy Marquez,Randy Davis,Douglas Hurley,Dawn Garcia,Chelsea Russell,Joseph Gallagher']",Medium
448,Joanna Stevens,101,"['Christopher Walker,Keith Frederick,Dr. Patrick Ruiz,Michelle Keller,Mark Holmes,Nicole Cummings']",Medium
449,Michael Moody,154,"['Sharon Bradley,Teresa Joseph,Danielle Brown,Jonathon Garcia,Lori Webb,Sean Nguyen,Diamond Jensen,Tamara Melendez,Rhonda Scott,Jennifer Lopez']",Low
450,Laura Wood,29,"['Victoria Smith,Michelle Steele,Kelsey Velazquez,Melanie Hall,Victoria Ruiz,Jack Moss,Sara George']",High
451,Amy Terrell,56,"['Sherry Walker,Travis Carlson']",Medium
452,Thomas Chase,44,"['Devin Richardson,Gerald Simmons,Charlene King,Dana Grant,Jonathan Walsh']",Low
453,Robert Howard,178,"['Alexandra Howard,Tonya Hartman,Jacqueline Li,Craig Roberson']",Medium
454,Brian Norton,7,"['Thomas Wolfe,Justin Bauer,Paula Rodriguez,Paul Blackwell,Sheri Hill,Samantha Young']",Medium
455,Pamela Hernandez,144,"['Lee Collins,James Calhoun']",Low
456,Julie Cruz,39,"['Tony Sanders,David Stevens,Curtis Barton,Todd Mitchell,Marie Jones,Mr. Eric Mejia Jr.']",Low
457,John Wallace,61,"['Elizabeth Proctor,Donald Kim,Jessica Soto,Nicholas Williams,Stacy Freeman,Vanessa White']",Medium
458,Amy King,120,"['Johnathan Smith,Mrs. Sharon Reynolds,John Goodman']",Medium
459,Pamela Reed,160,"['Sarah Garcia,Jimmy Ortega,Jessica Franklin']",Medium
460,Laura Smith,108,"['Nancy Dennis,Jessica Salinas,Katrina Cordova,Adam Rice']",Low
461,Kristen Martinez,40,"['Sherri Fuller,Stephen Kelly,Scott Blackwell']",High
462,James Palmer,137,"['Sherry Campbell,Troy Bennett,Willie Price,Michael Stokes,Jason Vasquez,James Gillespie,Janice Johnson,Tracy Harris,Eddie White,Hannah Hall']",High
463,John Perez,81,"['Angela Gregory,Jennifer Stewart,Justin Mejia,Edward Gomez,Ms. Sherri Lopez MD,Sean Wright,Benjamin Ferguson,Walter Wright,Andrew Ryan,Michael Edwards']",Medium
464,Brooke Townsend,106,"['Cody Williams,Christopher James,Alexa Novak,Robert Daugherty,Andrea Wallace,Katie Santos,Curtis Odonnell,Mark Grant,Amber Miller,Virginia Robinson']",High
465,Claudia Lewis,170,"['Cory Mendoza,Dr. Carl Frost DDS,Monica Hill,Crystal Small,Lisa Hicks,Caitlyn Thomas,Chad Singh,Nichole Hodge,Taylor Jones,Michael Williams']",High
466,Anna Moore,92,"['Joseph Jones,Kelly Thornton,Zachary Wright,Nicole Silva,Chelsea Wong,Courtney Kelly']",Low
467,Joshua Henson,113,"['Catherine Williams,Shaun Allen,Mr. Andrew Simmons MD']",Low
468,Dr. Barbara Simon,45,"['Connie Thomas,Raven Turner,Jennifer Osborne,Amanda Carpenter,Justin Escobar,Mary Green,Karen Reid,Erik Bowman,Rebecca Harrison,Allison Brown']",High
469,Geoffrey Carter,105,"['Matthew Hunter,Kim Shaffer,Norma Escobar MD,April Potter,John Adams']",High
470,Cole Thompson,81,"['Kenneth Valdez,Chelsea Frye,Ryan Greene']",Medium
471,Mr. Matthew Donovan,126,"['Gregory Huerta,Jacob Knox,Brandy Garcia,Travis Kramer,Sean Hunter,Bethany Blake,William Brown,Tracey Morton']",Medium
472,Gregory Jones,77,"['Gloria Soto,Kelly Smith,Kevin Johnson']",Low
473,Aaron Davis,127,"['Stacey Watson,Brooke Sparks,Marie Collins DDS,Todd Diaz,Todd Smith,Daniel Shaw,Michelle Allen DVM,Tammy Dunlap,Patrick Barrett,Timothy Bell']",Low
474,Taylor Hernandez,180,"['Mackenzie Marshall,Christopher Reeves,Stacey Cruz,Timothy Gonzalez,Adam Smith,Abigail Santos,David Lopez,Kurt Mcdonald,Mark Bailey,Michael Leonard']",Medium
475,Scott Thomas,128,"['Ryan Pope,Renee Green,Krista Pierce PhD,Chad Ryan,Kathryn Brown,Anna Christensen']",Low
476,Amanda Ryan,9,"['Becky Garza,Todd Medina,Madison Roth']",Low
477,Kimberly Gonzalez,24,"['Jason Ayala,Nicole Parks,David Thompson,Erin Ortega,Holly Russo,Roberta Winters,Aaron Solis,Joshua Pitts']",High
478,John Santiago,45,"['Shelby Perez,Ryan Ali,David Palmer,Deborah Reynolds,Joseph Stout,Thomas Sanchez']",Low
479,Thomas Gonzalez,61,"['Justin Lewis,Casey Murphy IV,David Fuller']",High
480,Michael Henry,5,"['Peter Howard,Dawn Williams,Marissa Johnson,Michele Munoz,Natalie Shaw,Matthew Wilkins']",Low
481,Jason Wu,16,"['Kevin Clark,Connor Ryan,Abigail Cardenas,David Townsend']",High
482,Collin Hays,48,"['Kristie Weaver,Jason Barron,John James,Raymond Riddle,Elizabeth Elliott,Alexander Taylor']",Low
483,Jane Young,103,"['Mrs. Rachel Sanders,Sara Burns,Amanda Williamson,Ricky Simpson,Elijah Taylor,Elizabeth Wyatt,Kathleen Bailey,Jason Fitzpatrick,Michelle King,Phillip Zhang MD']",Medium
484,Samuel Kennedy,119,"['Melissa Rojas,Linda Buckley,Emily Bryant,Marisa Miller,Nathaniel Edwards']",High
485,Gail Fuentes,120,"['Nicholas Evans,Kenneth Avery,Shannon Duncan,Johnathan Anderson,Kenneth Crawford']",Low
486,Terry Hunter,89,"['Ryan Martin,Jessica Crawford,Jennifer Rodriguez,Amanda Levine,Mary Gonzalez,Charles Davidson']",Medium
487,Ashley Brewer,44,"['Christina Wilson,Kristin Ayala,Lisa Watson,Megan Diaz,Bryan Miles,Curtis Cooper,Dawn Brown,Johnathan Hudson']",Low
488,James Curry,105,"['Stacey Torres,Emily Adams,Stephen Bush,Lindsay Frey,Kristina Ellis']",Low
489,Monique Haynes,126,"['Laurie Lee,Gavin Lopez']",Low
490,Christian Kelley,138,"['Amber Mcdonald,Cody Gonzalez,Alexis Foster,Randall Cooper,Jacob Phillips Jr.,Laura Diaz,Eric Lane,Christopher Cross,Daniel Hernandez']",High
491,Catherine Sanchez,145,"['Travis Garcia,Alexis Goodwin,Michael Price,Carrie Moreno']",Medium
492,Courtney Ramirez,172,"['Deborah Hammond,Justin Hall,Alexander Crosby,Brendan Reid,Gwendolyn Young,Michael Hughes,William Hernandez,Jennifer Charles']",Low
493,Vicki Harding,68,"['Laura Morris,Jessica Henson,Jack Kelly,Chris Woods,Jenna Jones']",High
494,Nicholas Powell,112,"['Gerald Griffith,Kathy Owens']",Low
495,Tyler Dougherty,82,"['Valerie Lopez,Ariel Ramirez,Amanda Alvarez,Katherine Hays']",High
496,Ricky Sanford,177,"['Thomas Webb,Shannon Dillon,Gary Smith']",Medium
497,Desiree Sparks,62,"['Shawn Buchanan,Mr. Henry Wilson DDS']",Low
498,Cristina Hanson,168,"['Eric Russell,Andrew Gardner,Pamela Bennett,Mr. Nicholas Taylor,Kenneth Owens,Troy Phelps,David Scott,Christina Novak,Ms. Taylor Castro']",High
499,Jessica Brown,70,"['Tamara Merritt PhD,Kimberly Padilla,Eddie Hawkins,Calvin Dougherty,Alexandra Campbell']",Low
500,John Perez,101,"['Carol Ramirez,Dakota Allen,Jamie Carrillo,Heather Flowers,Nancy Day,Jocelyn Ballard']",Low
501,Adam Costa,173,"['Joseph Padilla,Richard Norton,Jeffrey Reed,Karen Taylor,Johnny Cross']",Low
502,Rachel Yates,99,"['Jerry Scott,Heather Russo,Ryan Stewart,Michael Rodriguez,Michael Hernandez,Benjamin Neal,David Estrada,Eric Waller,Nicholas Leon,Renee Rodriguez']",Low
503,Heather Chen,45,"['Anthony Collins,Phillip Nguyen']",Medium
504,Dustin Stone,33,"['Lisa Miller,Janet Johns,Kristin Pineda DDS,Sharon Price,Scott Rios']",High
505,Alexander Villa,139,"['Joshua Horton,Morgan Chase,Jessica Brown']",High
506,Matthew Buchanan,39,"['Timothy Ortiz,Jean Moreno,Stephanie Colon']",Low
507,Elizabeth Duffy,28,"['Dawn Berg,Anna Martinez,Sharon Cox,Dana Hill']",Low
508,Joshua Hamilton,66,"['Christine Thomas,Mr. Paul Jenkins PhD']",High
509,Brandon Brown,108,"['David Hughes,Richard Davis DVM,Michelle Graham,Susan Kim,Darren Hunter,Gina May']",Low
510,Wayne Patel,153,"['Sean Lee,Debra Clark,Emily Carter,Bethany Mills,Christopher Moore,Gary Sanders,Angela Decker']",Medium
511,Charles Weaver,53,"['Christopher Trevino,Kristen Mckinney,Susan Gonzalez,Rachel Flores,Joann Coleman,Dustin Ballard,Melissa Edwards,Heather Brown,Andrew Sanchez,Kathy Huffman']",Low
512,Justin Martinez,102,"['Ryan Williams,April Jones,Stuart Stewart,Julie Richards,Edward Jones,Michael Baker,Rebecca Gonzalez,Anthony Roberts,Patrick Townsend,Jennifer Chapman']",Medium
513,Margaret Bishop,166,"['Patrick Callahan,Elizabeth Sosa,Emily Estrada,Leslie Hess']",High
514,Sharon Velez,122,"['Shelly Ingram,Marcus Stevens,Stephanie Fox,Erica Hart,Aaron Jordan,Dennis Love,Christopher Deleon,Jesse Taylor,Shane Brown']",Medium
515,Mr. Henry Ramirez,80,"['Michael Fuller,Isaac Nelson,Keith Lopez,Ronnie Lee,Donna Harrison,Lisa Williams,Dylan Jones,Jennifer Warren,Christopher Buck']",Medium
516,Jared Gross,62,"['Tanya Carson,Karen Murray,Kathy Obrien,Andrew Griffith,Cheryl Weiss']",Low
517,Kristopher Briggs,29,"['Margaret Branch,Deborah Day,James Powell,Raven Wood,Christopher Hernandez,Janet Parsons,Sandra Reyes']",Low
518,Jamie Perez,38,"['Anthony Knapp,Jeffrey King,Mrs. Rhonda Warren,Todd Whitehead,Thomas Cole,Richard Hernandez,John Williamson,John Turner,Cheryl Johnson,Pamela Hammond']",High
519,James Webb,68,"['Michael Snyder,Lisa Richards,Kathryn Hooper,John Bailey']",High
520,Amanda Shelton,51,"['Joel Garcia,John Dunn,Desiree Ward,Lance Sanders,Christy Williams,Kenneth Davis,Stephanie Dominguez,Bruce Briggs']",High
521,Crystal Ellis,139,"['Jennifer Cuevas DVM,Barbara Alexander,Matthew Wall']",Low
522,Jodi Herring,35,"['Jodi Norris,Matthew Frost,Glenn Charles,Dawn Haynes,Joshua Carter,Theresa Hart,Amber Hanson,Kimberly King']",High
523,Jeremy Kaiser,44,"['Mary Walls,Robert Kim,Cody Rose,Michael Leon,Tanya Ibarra,Ashley Morales,Cameron Schmitt,Tara Mckenzie,Laurie Cunningham']",High
524,Debbie Nelson,129,"['Juan Garcia,Xavier Murillo,Eric Schneider,Tiffany Washington']",High
525,Karen Proctor,158,"['Melody Chen,Rachel Garza,Julia Holmes,Morgan Mcneil,Emily Howe,Heather Fields,Jamie Price,Megan Baird,Richard Boyd']",Low
526,Daniel Wade,58,"['David Tate,Jacob Fry']",High
527,Andrea Melendez,24,"['Steven Rodriguez,Joshua Klein']",High
528,Corey Wheeler,134,"['Erin Butler,Debra Jenkins,Amber Matthews,Anthony Todd,Billy Jones,Rachel Espinoza,Heidi Evans']",High
529,Tammy Rush,46,"['Michael Scott,Natasha Green,Ms. Tracy Mitchell,Isaac Hansen,Billy Hendricks,Sue Jimenez']",Low
530,Maria Franco,19,"['Sheryl Graham PhD,Samuel King,Frank Gonzalez,Roberta Stark,James Mora']",Medium
531,Danielle Price,70,"['Susan Mccoy,Ashley Farmer,Anthony Rodriguez,Jon Hall,Joseph Wells,Gregory Harris']",Low
532,Kathleen Brennan,36,"['Janice Harvey,Brian Davis,William Jordan,Wendy Collins,Jose Lopez,Derrick Douglas']",Low
533,Billy Jones,108,"['Shawn Brandt,Jason Sullivan,Jacob Brown,Jesse Mckee,Samantha Murray,Meghan Bradshaw,Anthony Thompson,Willie Howard,Jason Mitchell,Frederick Kelly']",High
534,Justin Palmer,116,"['John Martin,Allison Mack,Tyler Henderson,Jordan Lopez,Stephanie Brady,Katrina Davis,Alexander Lee,Douglas Martin,Lucas Hill']",Medium
535,Todd Nguyen,152,"['Monica Davis,Timothy Long,Joshua Hanson,Robert Stewart,Trevor Gonzalez,Alexis Sanchez,Mrs. Barbara Clark,Michelle Moore,Tara Whitaker,Lisa Bennett']",Low
536,Tiffany Mcdonald,125,"['Megan Carlson,Luis Espinoza,Diane Mullen,Nicholas Gray,Robert Mitchell,Gregory Jordan,Tina Rivas,Eric Shaw,Ethan Hartman,Tiffany Cox']",Medium
537,Douglas Herrera,60,"['Joseph Mckinney,William Knapp,Emma Sutton']",High
538,John Zuniga,34,"['Cheryl Smith,Maurice May,Danny Cruz,Lauren Hood,Justin Shaw,Caitlin Andrews,Steven Dyer,Mitchell Long,Robert Ross,Cole Carson']",Low
539,Eric Myers,96,"['Krista Sanchez,Michael Mendoza,Parker Pineda']",Low
540,Margaret Murphy,171,"['Maria Melendez,Daniel Brown,Randy Jones,Julia Ware,Christine Potter,John Turner,Randy Mendez']",Medium
541,Matthew James,104,"['Patricia Oliver,Diana Crawford,Norman Wilson,Abigail Barton,Nicole Holland,Samuel Brown,Andrew Schaefer']",Medium
542,Stephanie Cunningham,155,"['Christina Leonard,Wendy Weiss,Darlene Logan,Marco Kelly,Veronica Lopez,Ronald Massey,Erin Duffy,Richard Mckay,Jacob Berg,Caitlin Vasquez']",High
543,Teresa Key,157,"['Paula Stewart DDS,Matthew Jackson,Steven Moran,Loretta Larsen']",Low
544,Crystal Miranda,143,"['Jodi Turner,James Schmidt DVM,Heather Butler,Kimberly Bartlett,Christopher Sullivan,Samuel Gibson,Lisa Fox,Jeffrey Ramirez']",Low
545,Michelle Williams,156,"['Anita Phillips,Kerry Cook,Duane Bennett,Joshua Santana,Gregory Sexton PhD,Charles Logan,Marie Kennedy']",Medium
546,Amber Burke,143,"['Michelle Cline,Amber Anderson,Jeffrey Carter,Sharon Padilla']",Medium
547,Lance Baker,154,"['Jordan Edwards,Megan Sexton,Matthew Little DDS,Kari Johnson,Bonnie Spencer,Donna Wagner,Sabrina Stewart']",Low
548,Andrew Rush,37,"['Jennifer Carter,Karen Dunn,Corey Brown,Katrina Bradley,Charles Bautista,Laura Baker,Shawn Ayala']",Medium
549,Bradley Harvey,170,"['Logan Hammond,Adrian Rogers,Kathy Daniel,Robert Collins,Sharon Jenkins,Samantha Carpenter,Regina Brown']",Low
550,Tracy Bender,131,"['Melinda Torres,Rachel Ward,Diamond Mcguire,Oscar Medina,Vincent Anderson']",High
551,Mark Erickson,91,"['Alison Richardson,Meghan Torres,Justin Terry']",Medium
552,Kristen Lee,15,"['David Armstrong,Patrick Phillips']",Medium
553,David Quinn MD,95,"['Morgan Lang,Tammy Duncan,James Young,Mary Johnson,Eric Calderon,Robin Fischer,Aaron Graves,Sarah Fowler,Katherine Terrell,Whitney Stone']",High
554,Kevin Soto,56,"['Sarah Lee,Amber Vaughan,Edward Merritt']",Low
555,Laura Jacobs MD,124,"['Ann Jones,Paul Simpson,Brian Hanna,Jacob Bowman,Shirley Duffy,Shannon Ellison,Robert Long,Karen Sanford']",Low
556,Marie York,53,"['Philip Scott,Ashley Lane']",Medium
557,Craig Smith DDS,39,"['Kristin Allen,Chris Wilson,Jorge Lee,Brianna Thompson,John Hester,Mrs. Julia Guerrero,Edward Banks']",Medium
558,Robert Kim,146,"['Dr. Eric Chung,Seth Coffey']",Medium
559,Henry Stanley,107,"['Richard Mccoy,Kylie Bruce,Miranda Williams,Curtis Branch,Brittany Mccormick,Carl Huff,Stephanie Martinez,Jaime Stone,Kristin Noble']",Medium
560,Sarah Miller,87,"['Shannon Kaiser,Christopher Tran,Angela Turner']",Low
561,Kelsey Raymond,62,"['Mariah Campbell,Justin Osborne,Steven Salazar,Angela Mccoy,Valerie Cardenas,Joe Mendez']",Low
562,Mrs. Mary Rush PhD,107,"['Jessica Williams,Scott Day,Megan Vance,Theresa Thomas,Evan Walters']",Medium
563,Brian Craig,160,"['Hunter Hinton,Chase Mitchell,Sharon Willis,Pamela Dorsey,Paula Alvarez,Mr. Matthew Riley,Jose French,Gregory Hall']",Medium
564,Samantha Wallace,157,"['Michelle Clark,Leah Johnson,Robin Anderson,Erica Brooks,Christopher Gonzalez']",High
565,Natalie Cole,62,"['Richard Garcia,Anthony Briggs,Jessica Smith,Erik Perez']",Medium
566,David Mitchell,116,"['Andrew Tucker,Andrea Turner,Luke Flores,Erin Rubio']",Medium
567,Sarah Wilson,26,"['Stephen Butler,Jenna Ashley,Scott Wolf,Monica Brown,Brittany Ramirez,Vanessa Odonnell,Joel Ramirez,Andrew Vance']",High
568,Melissa Buchanan,130,"['Ryan Martin DDS,Faith Beasley,Heather Fernandez,Jodi Martin']",Medium
569,Adam Wilson,63,"['Jacob Richard,Antonio Cunningham,Maria Mueller,Paul Gomez']",Low
570,Stephanie Adams,71,"['Danielle Long,Christopher Cook,Steven Morris,Maria Jones,Victoria Hunt']",Low
571,Jennifer Moore,170,"['Becky Rose,Alice Fox,Karen Cobb,William Mendez']",Low
572,Roger Lloyd,164,"['Dennis Meadows,Alicia Smith,Rebecca Williams,Stephanie Mcguire,Crystal White,John Watson,Sarah Martinez,Abigail Beard,Kevin Johnson,Ronnie Thomas']",High
573,Justin Diaz,153,"['Charles Rice,Katherine Cox,Karen Knight']",Medium
574,Derrick Johnson,92,"['Sarah Cowan,Marcus Berger,Patricia Simon,Michael Turner,Valerie Forbes,Rachel Stevens,April Martin,Jason Davis']",High
575,Timothy Kerr,59,"['Holly Williams,Steven Brown,Madison Adams,Cathy Burns,Michelle Holmes,Wanda Wong,Colin West,Patricia Francis,Deborah Orr,Caroline Padilla']",Medium
576,Dr. Michael Torres,163,"['Ronald Wilson,Cynthia Proctor,Barbara Williams,Rhonda Harvey,Rita Wilson,James Spencer,Keith Juarez,Mary Smith']",Low
577,Alan Holland,31,"['Robert Woods,Erica Roberts,Zachary Robles,Stacie Bell,Jeffrey Mills,Vanessa Cooke']",Medium
578,Heather Miller,109,"['Alex Mitchell,Richard Hays,Lori Hughes,Denise Larson,Dillon Chan,Andrew White,James Day,Mr. Robert Campbell PhD,Megan Ross']",Medium
579,Eileen Edwards,45,"['Derek Olson,Cameron Wilson,Michael Butler,Megan Cole']",High
580,Brittany Huerta,14,"['Angela Little,Nichole Barrett']",Low
581,Samantha Tucker,94,"['Bradley Johnson,Melissa Anderson,Joann Barrera,Jermaine Walker,Penny Fuller,Mr. Christopher Williams']",Low
582,Thomas Krause,52,"['Jeffrey Mason,Ann Parrish,Jessica Gonzales']",Low
583,Timothy Cruz,119,"['Laura Nelson,Austin Mccann,Stacie Heath,Maria Ford,Jonathan Garza,Pamela Williamson,Anthony Phillips']",Medium
584,Jeffrey Meyers,162,"['Timothy Branch,Bobby Scott,Denise Barker,Jaclyn Buck,Walter Johnson,Mary Rollins']",High
585,Michael Hall,150,"['Brandy Kennedy,Jennifer Smith']",Low
586,Stephanie Benson,71,"['Alicia Lopez,Eric Padilla,Michael Cantu,John Brown,Pamela Wall,Andrew Moore,Jose Johnson']",High
587,Thomas Wilkerson,163,"['Joshua Eaton,Samantha Evans,Anthony Romero,David Fowler,Dr. Barbara Johnson PhD,Emily Yang']",Medium
588,Cynthia Dominguez,79,"['Hector Mendoza,Kathryn Guerra,Anthony Johnson']",Low
589,Cynthia Kline,58,"['Scott Chandler,Dustin Pratt']",Low
590,Charles Barnes DDS,93,"['Andrew Owen,Nathan Foster,Rachel Thomas,Patricia Gallegos']",Medium
591,Jonathan Stewart,168,"['Todd Davis,Scott Wright,Brad Smith,Ashley Evans,Sarah Harrington,Daniel Deleon,Heather Chavez,Vicki Jones,Tracy Wilson']",High
592,Brandon Carson,97,"['Ryan Mcgrath,Mark Frazier,John Goodwin']",High
593,Tiffany Robinson,74,"['Vanessa Miller,Katie Woodard,Mary Solomon,Anthony Pennington,Christopher Gregory,Erica Miller,Peggy Morgan,Mario Baker,Wendy Rodriguez,Sara Campbell']",High
594,Edward Daugherty,179,"['Sergio Wright,Tyler Cummings,Christina Johnson,Sylvia Lopez,Debra Hutchinson,Troy Mills,Vincent Reyes,Kristin Garcia']",Medium
595,Ashley Curry,100,"['Brian Gardner,Kendra Wilson,Tiffany Hall,Amy Hall,Kendra Vaughn,Elizabeth Jones']",Medium
596,Nicole Mahoney,56,"['Jennifer Moore,Perry Carter,Kathryn Vega,Tony Hill,Michael Thompson,Joshua Neal,Neil Peters,Krystal Scott']",Low
597,Alyssa Moore,10,"['Rhonda Herring,Alan Cannon,Jessica Pena,Joshua Singh,Cynthia Smith,Claire Zimmerman,Travis Williams']",High
598,Carol Sanchez,93,"['Todd Thompson,Nancy Howard,Richard Ritter,Blake Powell,Christopher Stewart']",High
599,Kristina Porter,153,"['Jennifer Wise,Robert Huang']",High
600,Amber Sweeney,36,"['Jennifer King,Christine Jennings,David Martin,Patrick Williams,Aimee Macias,Michelle Sellers,Tim Young,David Gonzalez,Ryan Robles']",Low
601,William Coffey,96,"['David Allison,Jennifer Carpenter,Cody Dawson,Derrick Griffin,Kathryn Gibson,Morgan Rodriguez,Ana Conley,Clifford Cherry']",Medium
602,Sara King,102,"['Roberto Brown,Brandon Chen,Elizabeth Hanna,Tracy Jimenez,Kimberly Rose,William Miller,Lauren Martinez,Karen Brown,Thomas Garcia']",Low
603,Diane Paul,117,"['Julie Monroe,Catherine Gomez,Donald Tran,Robert Mclaughlin,Joshua Howard,Alan Rodriguez,William Johnson']",Low
604,Jason Mendoza,30,"['Courtney Cameron,Richard Ali,Sabrina Meyers,Ashley Kelly,Mark Henderson']",High
605,Karen Hall,99,"['Michelle Goodman,Mr. Alexander Medina,Curtis Gardner,Kaitlyn Morrison,Darrell Allison,Alyssa Griffin,Monique Martinez,Russell Berry']",Low
606,David Walsh,116,"['Dana Huff,Teresa Simpson,Tamara White,Natalie Esparza,Robert Frost,Gabrielle George,Tyler Richards']",Low
607,Carol Bailey,83,"['Kelli Bates,David Hill,Emma Scott,Autumn Roberson,Derrick Drake,James Farrell,Adam Cline,Kenneth Lucero']",High
608,Mark Smith,179,"['Francisco Melendez,Nicole Mendoza']",Medium
609,Nathaniel Smith,68,"['Molly Alexander,Becky Jimenez,Audrey Little,Nicholas Miller,Christina Robinson,Kimberly Lindsey,Lori Todd,Felicia Hall,Nicole Gates']",Low
610,Sandra Jones,100,"['Ryan Gross,Larry Martinez,Joel Juarez']",High
611,Michael Harper,94,"['Michelle Young,Kayla Weber,Mathew Drake,Samantha Edwards,Edwin Smith,Robert Lowe,Matthew Hayes,Michelle Swanson']",High
612,Peter Gill,106,"['Dominique Hill,Mary Thomas,Tony Gonzalez,Brian Taylor,Dennis Griffin,Jenny Day,Mrs. Wendy Hall,Manuel Mills,Michael Ortiz,Connie Smith']",Low
613,Kristen Rivers,177,"['Anthony Sims,Ashley Phillips,Linda Hughes,Kyle Estes,Stacy Johnson,Courtney Osborne']",Medium
614,Tabitha Wilkins,103,"['Shelley Costa,Katherine Moore,Michael Chandler']",Medium
615,Kimberly Stevens,66,"['Christopher Thomas,Edward Guzman,Chad Meza,Philip Li,Wanda Thomas,Stephanie Roberts']",Medium
616,Shawn Key,57,"['Mr. Lance Allen,Beth Lee,John Thomas,Mary Browning,Mason Todd,Angela Scott,Laurie Clark,David Nichols,Denise Hardy']",High
617,Diana Herring,90,"['Larry Gallagher,Michael Davis,Dustin Ortega,Taylor Miller']",High
618,Amber Hanson,47,"['Andrea Hahn,Brandy Harrison,Bonnie Taylor,Jenna Allison,Jessica Bush,Jacob Hebert,Allison Ramirez,Dr. Kevin Torres,Michael Myers,Virginia Ramsey']",High
619,Derek Vincent,160,"['Tammy Grant,Holly Cooper,Nicholas Frye']",Low
620,Elijah Lucero,151,"['Melissa Lang,Robert West,Robert Camacho,Helen Kelley']",Medium
621,Ralph Ochoa,94,"['Jeremy Lyons,Angela Sherman,Natalie Barnes']",Low
622,Rebecca Martin,145,"['Ryan Ward,Chelsea Flores,Charles Delgado,Jordan Garcia,Courtney Rios']",Low
623,Ryan Obrien,64,"['Lisa Sanders,Victoria Rios,Paul King,Ian Henderson,Leonard Ward']",High
624,Amanda Dixon,125,"['Stephanie Rich,Carolyn Yates,Sarah Mccarthy,Dan Oliver,Katherine Guzman,Patricia Turner,Sherri Monroe']",High
625,Zachary Logan,38,"['Tony Hayes,Phillip Reyes,Paul Wolfe,Robert Rush,Vanessa Mccarty,Molly Lopez,Gregory Barnes,Juan Pierce']",Medium
626,Terry Carter,171,"['Kevin Hall,Angel Pierce,Kevin Wilson,Madison Cannon,Matthew Glover,Angela Bradley,Mr. Jesse Mcdonald PhD,Jesse Morrow']",Low
