,organizer,call_duration_mins,participants,indiv_interaction_mins,interaction,meeting_modes,meeting_types,host_locations,recorded_session
3718,Avinash Ravindranath,89,"{'Avinash Ravindranath', 'Divya Ravindranath,Harini Prakash,Surya Ravindranath,Avinash Ravindranath,Prasanna Prakash,Harini Prakash,Surya Prasad'}",[13 14 62],High,hybrid,project_discussion,France,no
3719,Harini Raj,39,"{'Vaishali Ravindranath,Divya Raj,Prasanna Prakash,Surya Prakash,Prasanna Raj,Divya Prasad', 'Harini Raj'}",[ 6 31  2],Low,in_office,others,India,no
3720,Surya Raj,31,"{'Surya Raj', 'Avinash Prakash,Divya Ravindranath,Vaishali Ravindranath'}",[ 4 14 13],High,online,employee_engagement,France,yes
3721,Avinash Ravindranath,58,"{'Vaishali Ravindranath,Avinash Prakash,Divya Raj,Harini Raj,Vaishali Ravindranath,Aruna Prasad,Vaishali Raj,Vaishali Ravindranath', 'Avinash Ravindranath'}",[20 33  5],Medium,in_office,project_discussion,Romania,yes
3722,Surya Raj,29,"{'Prasanna Raj,Vaishali Ravindranath,Vaishali Prakash,Harini Ravindranath,Vaishali Raj,Vaishali Prakash,Divya Raj,Aruna Ravindranath', 'Surya Raj'}",[ 0 17 12],Low,online,employee_engagement,Romania,no
3723,Avinash Raj,92,"{'Avinash Raj', 'Vaishali Ravindranath,Prasanna Prakash,Aruna Raj,Prasanna Raj,Aruna Prasad,Vaishali Ravindranath,Surya Prasad,Surya Prasad,Divya Prasad,Surya Prakash'}",[34 55  3],Medium,hybrid,others,France,no
3724,Surya Ravindranath,60,"{'Avinash Ravindranath,Harini Prakash,Prasanna Prakash,Harini Prasad,Surya Prasad,Harini Prasad', 'Surya Ravindranath'}",[35 15 10],High,in_office,project_discussion,Remote,no
3725,Avinash Ravindranath,153,"{'Avinash Ravindranath,Aruna Ravindranath,Vaishali Prakash,Avinash Prasad', 'Avinash Ravindranath'}",[107  17  29],Medium,hybrid,trainings,India,yes
3726,Aruna Prakash,167,"{'Aruna Prakash', 'Aruna Ravindranath,Divya Prasad,Prasanna Prasad,Divya Ravindranath,Divya Prasad,Surya Raj,Divya Prakash,Harini Prakash,Divya Prakash'}",[65 19 83],High,online,trainings,India,yes
3727,Prasanna Raj,50,"{'Divya Raj,Surya Raj,Vaishali Prakash,Vaishali Ravindranath,Divya Prasad', 'Prasanna Raj'}",[ 0 13 37],High,online,project_discussion,Romania,yes
3728,Vaishali Ravindranath,53,"{'Vaishali Ravindranath', 'Avinash Ravindranath,Avinash Ravindranath,Harini Ravindranath,Aruna Ravindranath'}",[21  6 26],Low,hybrid,others,France,yes
3729,Prasanna Ravindranath,41,"{'Prasanna Ravindranath', 'Prasanna Prasad,Divya Raj,Divya Ravindranath,Avinash Ravindranath,Divya Prasad'}",[30  6  5],Medium,online,trainings,France,yes
3730,Prasanna Raj,90,"{'Prasanna Raj', 'Vaishali Prasad,Harini Prasad,Avinash Ravindranath,Vaishali Raj,Vaishali Ravindranath,Divya Ravindranath,Surya Prasad'}",[12 39 39],High,in_office,others,Romania,no
3731,Surya Ravindranath,139,"{'Prasanna Prakash,Surya Raj', 'Surya Ravindranath'}",[ 4 79 56],Low,online,employee_engagement,France,no
3732,Surya Prakash,40,"{'Harini Ravindranath,Vaishali Raj', 'Surya Prakash'}",[ 3  2 35],High,in_office,trainings,India,yes
3733,Prasanna Raj,89,"{'Surya Raj,Divya Raj,Vaishali Prakash,Vaishali Prasad,Prasanna Raj,Vaishali Prakash', 'Prasanna Raj'}",[12 73  4],Low,in_office,others,Remote,no
3734,Surya Prasad,147,"{'Surya Raj,Aruna Raj,Aruna Raj,Prasanna Raj,Harini Prasad,Prasanna Ravindranath,Divya Prasad', 'Surya Prasad'}",[19 69 59],High,hybrid,trainings,Romania,no
3735,Harini Raj,72,"{'Aruna Prasad,Prasanna Prasad,Harini Ravindranath,Surya Prasad,Prasanna Prasad,Vaishali Prakash,Harini Prasad,Harini Prasad,Avinash Ravindranath,Vaishali Prasad', 'Harini Raj'}",[20 31 21],Low,hybrid,others,Remote,yes
3736,Prasanna Prakash,123,"{'Vaishali Prakash,Avinash Prasad', 'Prasanna Prakash'}",[ 2 69 52],High,hybrid,trainings,Romania,no
3737,Divya Prasad,78,"{'Vaishali Prasad,Vaishali Raj,Harini Prasad', 'Divya Prasad'}",[36 28 14],High,hybrid,project_discussion,India,no
3738,Vaishali Prasad,111,"{'Divya Prasad,Avinash Raj,Divya Prasad,Divya Prasad,Divya Ravindranath', 'Vaishali Prasad'}",[25 38 48],Low,online,employee_engagement,Remote,no
3739,Prasanna Prakash,46,"{'Avinash Prasad,Surya Ravindranath,Vaishali Ravindranath', 'Prasanna Prakash'}",[35  1 10],High,hybrid,others,India,no
3740,Vaishali Ravindranath,72,"{'Harini Ravindranath,Harini Ravindranath,Divya Ravindranath,Avinash Ravindranath', 'Vaishali Ravindranath'}",[36  2 34],High,online,project_discussion,France,no
3741,Harini Prakash,163,"{'Harini Prakash,Surya Prasad,Surya Prakash,Prasanna Prasad,Vaishali Prakash,Prasanna Ravindranath', 'Harini Prakash'}",[ 6 95 62],Low,in_office,others,France,no
3742,Harini Prasad,89,"{'Surya Prakash,Prasanna Ravindranath,Harini Prasad,Harini Prasad,Divya Ravindranath,Harini Ravindranath,Divya Prakash,Harini Raj,Avinash Prasad,Surya Ravindranath', 'Harini Prasad'}",[11 33 45],Medium,in_office,employee_engagement,France,no
3743,Vaishali Prakash,84,"{'Vaishali Prakash', 'Avinash Prasad,Aruna Prasad,Harini Prasad,Aruna Prasad,Aruna Raj,Prasanna Prasad,Avinash Raj,Divya Ravindranath'}",[ 6 39 39],Low,in_office,employee_engagement,Romania,yes
3744,Divya Raj,131,"{'Divya Raj', 'Surya Prakash,Aruna Prakash,Avinash Prasad,Prasanna Prakash,Divya Ravindranath,Harini Prasad,Vaishali Prakash,Vaishali Prakash'}",[80 39 12],High,online,others,Remote,no
3745,Avinash Ravindranath,161,"{'Surya Prasad,Vaishali Ravindranath,Surya Prasad', 'Avinash Ravindranath'}",[127  23  11],Medium,in_office,others,India,no
3746,Surya Ravindranath,9,"{'Surya Ravindranath', 'Surya Prakash,Prasanna Ravindranath,Aruna Prasad,Harini Ravindranath,Vaishali Prasad'}",[5 2 2],Medium,online,project_discussion,Romania,yes
3747,Harini Ravindranath,102,"{'Harini Ravindranath', 'Aruna Ravindranath,Divya Prakash,Avinash Ravindranath,Divya Prasad,Avinash Raj'}",[ 2 97  3],High,online,project_discussion,India,yes
3748,Surya Raj,74,"{'Aruna Ravindranath,Divya Raj,Prasanna Raj,Avinash Ravindranath,Aruna Prakash,Surya Raj,Harini Prakash,Avinash Raj,Vaishali Raj', 'Surya Raj'}",[11  8 55],Low,in_office,trainings,Romania,yes
3749,Vaishali Prakash,51,"{'Vaishali Prakash', 'Avinash Prasad,Harini Prakash,Aruna Ravindranath,Aruna Prasad'}",[43  0  8],High,online,others,Remote,no
3750,Prasanna Raj,110,"{'Prasanna Raj', 'Divya Ravindranath,Divya Ravindranath,Divya Prasad,Surya Ravindranath,Prasanna Prakash,Prasanna Raj'}",[34 21 55],High,online,project_discussion,Romania,yes
3751,Vaishali Prakash,85,"{'Vaishali Prakash', 'Vaishali Prasad,Prasanna Ravindranath,Vaishali Prakash,Vaishali Prakash,Vaishali Prakash,Avinash Raj,Surya Prasad'}",[13 60 12],High,hybrid,others,France,yes
3752,Surya Prakash,81,"{'Surya Raj,Prasanna Ravindranath', 'Surya Prakash'}",[31 17 33],High,in_office,employee_engagement,Romania,no
3753,Harini Ravindranath,127,"{'Harini Ravindranath', 'Prasanna Ravindranath,Prasanna Prakash,Divya Raj,Surya Prasad,Prasanna Raj,Divya Ravindranath'}",[36 11 80],Low,online,project_discussion,India,no
3754,Vaishali Prakash,80,"{'Vaishali Prakash', 'Surya Raj,Prasanna Ravindranath,Prasanna Raj,Harini Raj,Avinash Prakash,Aruna Prakash'}",[ 0 23 57],Medium,in_office,project_discussion,Romania,yes
3755,Harini Prasad,72,"{'Vaishali Ravindranath,Divya Prakash,Aruna Prakash,Harini Prakash,Divya Prakash,Divya Prakash,Surya Raj', 'Harini Prasad'}",[40 31  1],Low,in_office,others,France,no
3756,Surya Raj,38,"{'Avinash Raj,Avinash Raj,Harini Ravindranath,Avinash Ravindranath,Avinash Raj,Vaishali Prasad,Surya Ravindranath', 'Surya Raj'}",[ 1 16 21],High,in_office,project_discussion,France,no
3757,Prasanna Prakash,155,"{'Vaishali Raj,Harini Prasad,Vaishali Prakash', 'Prasanna Prakash'}",[65 16 74],High,online,trainings,Romania,no
3758,Avinash Raj,114,"{'Avinash Raj', 'Divya Ravindranath,Aruna Raj,Prasanna Prakash,Aruna Raj,Surya Raj,Prasanna Prakash,Aruna Ravindranath,Vaishali Prasad,Prasanna Ravindranath'}",[63  6 45],High,online,project_discussion,Remote,no
3759,Prasanna Prakash,11,"{'Harini Ravindranath,Divya Raj,Vaishali Raj,Vaishali Ravindranath,Divya Prasad,Vaishali Raj,Divya Prasad,Aruna Prasad', 'Prasanna Prakash'}",[6 0 5],Low,online,trainings,Remote,yes
3760,Prasanna Prasad,52,"{'Prasanna Prasad', 'Surya Raj,Divya Prasad,Harini Ravindranath,Avinash Prasad,Aruna Ravindranath,Vaishali Ravindranath,Divya Raj,Vaishali Prakash,Avinash Prasad'}",[36  7  9],High,hybrid,employee_engagement,France,no
3761,Aruna Raj,55,"{'Aruna Raj', 'Vaishali Prasad,Avinash Ravindranath,Prasanna Raj,Aruna Raj,Prasanna Raj,Harini Prasad,Divya Ravindranath'}",[ 6  1 48],Low,in_office,others,India,yes
3762,Prasanna Prakash,91,"{'Aruna Raj,Surya Ravindranath,Divya Ravindranath', 'Prasanna Prakash'}",[ 4 65 22],Low,hybrid,others,Romania,no
3763,Harini Ravindranath,123,"{'Harini Ravindranath', 'Harini Raj,Surya Prasad,Prasanna Ravindranath,Surya Raj,Avinash Prakash,Vaishali Ravindranath,Divya Prakash,Vaishali Ravindranath,Vaishali Prakash'}",[77 34 12],High,in_office,project_discussion,France,yes
3764,Prasanna Ravindranath,32,"{'Prasanna Ravindranath', 'Divya Prakash,Surya Prakash,Vaishali Prakash,Harini Ravindranath,Divya Raj,Avinash Prakash,Surya Prakash,Divya Prakash,Harini Raj,Aruna Raj'}",[16  7  9],Medium,online,project_discussion,Remote,yes
3765,Avinash Prakash,13,"{'Avinash Ravindranath,Vaishali Raj', 'Avinash Prakash'}",[7 6 0],High,online,trainings,India,yes
3766,Prasanna Ravindranath,57,"{'Aruna Raj,Prasanna Raj,Divya Ravindranath,Vaishali Ravindranath,Avinash Raj,Harini Prasad', 'Prasanna Ravindranath'}",[31 25  1],High,in_office,others,Romania,yes
3767,Divya Raj,109,"{'Divya Raj', 'Prasanna Raj,Avinash Prasad,Avinash Prakash,Vaishali Raj,Surya Prakash,Avinash Ravindranath,Avinash Raj,Divya Ravindranath,Avinash Ravindranath,Aruna Prakash'}",[32  6 71],Low,online,employee_engagement,Remote,no
3768,Surya Prakash,22,"{'Prasanna Prasad,Divya Raj,Surya Raj,Prasanna Raj', 'Surya Prakash'}",[ 1  7 14],Low,in_office,project_discussion,Remote,no
3769,Aruna Prakash,170,"{'Harini Ravindranath,Harini Prakash,Harini Prasad,Aruna Prasad,Vaishali Prasad,Avinash Raj,Harini Prakash,Prasanna Prasad', 'Aruna Prakash'}",[76 29 65],Low,in_office,employee_engagement,France,no
3770,Divya Prakash,143,"{'Divya Prakash', 'Avinash Ravindranath,Vaishali Ravindranath,Surya Raj'}",[ 7 92 44],High,hybrid,trainings,France,no
3771,Vaishali Prakash,34,"{'Vaishali Prakash', 'Avinash Prasad,Surya Prakash,Avinash Prasad,Vaishali Ravindranath,Avinash Ravindranath,Divya Ravindranath,Vaishali Raj,Aruna Prasad'}",[ 5 17 12],High,in_office,employee_engagement,India,no
3772,Vaishali Raj,22,"{'Harini Prasad,Aruna Raj,Harini Prasad,Vaishali Ravindranath,Avinash Raj,Aruna Prakash', 'Vaishali Raj'}",[ 7  5 10],Medium,in_office,employee_engagement,Romania,yes
3773,Harini Prasad,96,"{'Avinash Prasad,Vaishali Ravindranath,Avinash Prakash,Avinash Prakash,Harini Ravindranath,Harini Prasad,Vaishali Ravindranath', 'Harini Prasad'}",[70 15 11],Medium,in_office,project_discussion,India,no
3774,Divya Prakash,113,"{'Prasanna Ravindranath,Vaishali Prasad,Surya Prasad,Harini Prakash,Avinash Raj', 'Divya Prakash'}",[21 44 48],High,in_office,project_discussion,Romania,yes
3775,Prasanna Raj,127,"{'Prasanna Raj', 'Prasanna Prasad,Divya Prakash,Avinash Ravindranath,Avinash Raj'}",[ 7 24 96],High,online,employee_engagement,France,yes
3776,Divya Prasad,65,"{'Divya Prakash,Harini Prakash,Prasanna Prasad,Surya Ravindranath,Harini Prakash,Harini Prakash,Aruna Prakash', 'Divya Prasad'}",[ 7 22 36],Low,in_office,employee_engagement,France,yes
3777,Harini Ravindranath,11,"{'Harini Ravindranath', 'Harini Raj,Divya Prakash,Aruna Ravindranath,Vaishali Prasad,Avinash Raj,Divya Prasad,Aruna Prakash,Prasanna Raj,Surya Ravindranath'}",[0 4 7],High,hybrid,project_discussion,India,yes
3778,Vaishali Prasad,154,"{'Divya Prasad,Harini Prakash,Vaishali Ravindranath,Aruna Raj,Aruna Ravindranath,Divya Prakash,Aruna Prasad,Prasanna Prakash,Prasanna Raj,Aruna Raj', 'Vaishali Prasad'}",[ 46   3 105],Medium,hybrid,employee_engagement,France,no
3779,Vaishali Ravindranath,134,"{'Vaishali Ravindranath', 'Avinash Ravindranath,Divya Raj,Harini Prakash,Surya Prasad,Surya Prakash,Aruna Prasad,Vaishali Raj,Prasanna Prasad,Divya Ravindranath,Avinash Ravindranath'}",[ 28 106   0],High,hybrid,others,Remote,no
3780,Surya Prasad,57,"{'Divya Prakash,Harini Raj,Divya Prakash,Aruna Raj', 'Surya Prasad'}",[ 3 25 29],High,hybrid,trainings,India,no
3781,Prasanna Prakash,65,"{'Harini Prakash,Vaishali Prasad,Surya Prakash,Vaishali Ravindranath,Harini Prasad,Aruna Raj,Harini Prasad,Surya Ravindranath', 'Prasanna Prakash'}",[28 10 27],High,hybrid,project_discussion,Romania,yes
3782,Vaishali Prasad,68,"{'Vaishali Prasad', 'Surya Prakash,Harini Raj'}",[27 16 25],Medium,hybrid,project_discussion,Romania,no
3783,Divya Prakash,73,"{'Divya Prakash', 'Divya Prakash,Prasanna Prakash,Surya Ravindranath,Divya Raj,Aruna Prakash,Surya Prakash,Avinash Prakash'}",[11  2 60],High,in_office,trainings,Remote,yes
3784,Avinash Raj,158,"{'Avinash Raj', 'Aruna Prasad,Aruna Prakash,Aruna Raj,Aruna Raj,Aruna Ravindranath,Divya Raj,Vaishali Raj,Divya Prakash,Vaishali Raj,Vaishali Prasad'}",[11 52 95],Low,in_office,employee_engagement,Remote,no
3785,Divya Prakash,67,"{'Divya Prakash', 'Harini Prasad,Prasanna Prasad,Avinash Raj,Harini Prasad'}",[19  1 47],Low,in_office,trainings,India,yes
3786,Divya Raj,75,"{'Vaishali Prakash,Harini Prakash,Divya Raj,Divya Raj,Aruna Prasad,Divya Ravindranath,Harini Prakash,Vaishali Prakash,Surya Prakash,Divya Ravindranath', 'Divya Raj'}",[18 42 15],High,online,trainings,Remote,yes
3787,Surya Prasad,62,"{'Surya Prasad', 'Divya Prasad,Vaishali Raj,Prasanna Prasad,Divya Ravindranath,Aruna Ravindranath,Vaishali Prakash,Harini Prakash,Prasanna Prasad,Vaishali Ravindranath'}",[ 7  1 54],High,online,trainings,Romania,yes
3788,Harini Prasad,61,"{'Prasanna Ravindranath,Surya Prakash,Avinash Ravindranath,Avinash Raj,Divya Prasad,Surya Prakash,Aruna Prakash,Surya Ravindranath,Vaishali Prakash', 'Harini Prasad'}",[26 19 16],Medium,hybrid,employee_engagement,Romania,no
3789,Prasanna Prakash,165,"{'Aruna Raj,Harini Prasad,Prasanna Ravindranath,Avinash Raj,Divya Prakash,Prasanna Raj,Harini Prakash,Surya Ravindranath', 'Prasanna Prakash'}",[102   3  60],Medium,in_office,others,France,yes
3790,Vaishali Raj,101,"{'Divya Raj,Divya Ravindranath,Vaishali Raj,Aruna Raj,Avinash Prasad,Aruna Raj,Surya Ravindranath,Surya Raj,Vaishali Raj', 'Vaishali Raj'}",[ 7 34 60],Medium,online,trainings,Remote,yes
3791,Avinash Prakash,134,"{'Prasanna Prasad,Aruna Raj,Vaishali Prasad', 'Avinash Prakash'}",[ 1 58 75],Medium,online,others,France,yes
3792,Divya Prasad,10,"{'Prasanna Raj,Divya Raj', 'Divya Prasad'}",[2 5 3],Medium,hybrid,project_discussion,Romania,no
3793,Surya Prasad,146,"{'Surya Prasad', 'Avinash Prasad,Prasanna Raj,Avinash Prasad,Avinash Prakash,Aruna Prasad,Avinash Raj,Harini Raj'}",[ 8 93 45],Low,hybrid,trainings,Remote,yes
3794,Divya Prasad,67,"{'Avinash Ravindranath,Aruna Prasad,Vaishali Prasad,Prasanna Ravindranath,Prasanna Prasad,Vaishali Prakash', 'Divya Prasad'}",[50 12  5],Medium,online,others,Romania,no
3795,Prasanna Prakash,97,"{'Prasanna Prakash,Divya Prakash,Divya Prakash,Harini Prasad,Avinash Prasad,Avinash Ravindranath,Aruna Prakash,Aruna Ravindranath,Harini Prasad,Aruna Prasad', 'Prasanna Prakash'}",[85  5  7],Medium,online,employee_engagement,India,yes
3796,Surya Prasad,167,"{'Surya Prasad', 'Avinash Prakash,Divya Ravindranath,Harini Ravindranath,Vaishali Raj,Prasanna Prasad,Prasanna Raj'}",[123  44   0],High,hybrid,trainings,Romania,no
3797,Harini Ravindranath,88,"{'Harini Ravindranath', 'Prasanna Ravindranath,Avinash Prakash,Vaishali Prasad,Vaishali Raj,Divya Ravindranath,Divya Prasad,Avinash Ravindranath,Avinash Prasad'}",[21 22 45],Low,in_office,employee_engagement,Remote,yes
3798,Divya Ravindranath,159,"{'Divya Ravindranath', 'Aruna Prasad,Harini Ravindranath,Prasanna Ravindranath,Divya Prakash,Prasanna Prakash,Vaishali Prasad,Avinash Ravindranath,Harini Prakash'}",[ 30   2 127],Low,hybrid,trainings,Romania,yes
3799,Divya Raj,9,"{'Surya Prakash,Surya Prasad,Divya Ravindranath,Surya Prakash,Vaishali Raj,Prasanna Prasad,Vaishali Prasad,Surya Prasad,Divya Raj,Vaishali Raj', 'Divya Raj'}",[4 2 3],Low,in_office,others,France,yes
3800,Avinash Raj,87,"{'Avinash Raj', 'Divya Raj,Divya Prakash,Harini Prakash,Avinash Prasad,Divya Prakash,Prasanna Raj,Aruna Raj,Surya Prasad,Vaishali Ravindranath'}",[66 21  0],High,in_office,project_discussion,France,yes
3801,Aruna Ravindranath,6,"{'Aruna Ravindranath', 'Avinash Prasad,Prasanna Prakash,Harini Prasad,Surya Prasad'}",[0 2 4],Low,in_office,employee_engagement,Romania,yes
3802,Surya Raj,12,"{'Surya Raj', 'Surya Ravindranath,Aruna Raj,Harini Raj,Divya Ravindranath,Prasanna Prakash,Prasanna Ravindranath,Avinash Ravindranath,Divya Prakash'}",[4 4 4],Low,in_office,employee_engagement,France,no
3803,Surya Prakash,171,"{'Divya Ravindranath,Divya Prasad,Prasanna Prakash,Avinash Prakash,Avinash Raj,Vaishali Ravindranath,Harini Ravindranath,Avinash Prasad,Aruna Prakash', 'Surya Prakash'}",[ 19  35 117],Low,online,others,Romania,no
3804,Prasanna Raj,150,"{'Prasanna Raj', 'Harini Prasad,Avinash Raj,Surya Raj,Divya Prasad,Prasanna Prasad,Vaishali Raj,Avinash Ravindranath,Harini Ravindranath,Avinash Raj'}",[30 49 71],Medium,in_office,trainings,Romania,yes
3805,Harini Prasad,16,"{'Aruna Raj,Divya Prakash,Divya Ravindranath,Surya Prasad,Harini Ravindranath,Prasanna Raj,Prasanna Prasad', 'Harini Prasad'}",[ 1 13  2],High,online,trainings,India,yes
3806,Prasanna Ravindranath,53,"{'Prasanna Ravindranath', 'Surya Prasad,Prasanna Ravindranath'}",[14  5 34],Low,in_office,project_discussion,Remote,no
3807,Prasanna Ravindranath,64,"{'Surya Prakash,Surya Prasad,Vaishali Raj,Vaishali Prakash,Surya Ravindranath', 'Prasanna Ravindranath'}",[12  0 52],Low,hybrid,employee_engagement,Romania,no
3808,Divya Raj,159,"{'Prasanna Raj,Prasanna Raj,Vaishali Prasad', 'Divya Raj'}",[21 89 49],Low,in_office,trainings,India,no
3809,Vaishali Prasad,16,"{'Prasanna Prasad,Avinash Prasad', 'Vaishali Prasad'}",[5 2 9],High,hybrid,trainings,Romania,no
3810,Avinash Ravindranath,38,"{'Vaishali Prakash,Aruna Raj,Aruna Raj,Divya Prasad,Divya Ravindranath,Harini Ravindranath,Vaishali Raj,Prasanna Raj,Surya Ravindranath,Vaishali Raj', 'Avinash Ravindranath'}",[11  3 24],Medium,hybrid,project_discussion,Romania,yes
3811,Divya Prasad,90,"{'Surya Prasad,Surya Prasad,Divya Prasad,Vaishali Ravindranath,Surya Ravindranath,Surya Ravindranath,Surya Ravindranath,Harini Prasad,Aruna Ravindranath,Harini Ravindranath', 'Divya Prasad'}",[ 0  8 82],Low,in_office,project_discussion,India,no
3812,Avinash Ravindranath,42,"{'Avinash Raj,Avinash Prasad,Avinash Ravindranath', 'Avinash Ravindranath'}",[26  4 12],Low,hybrid,trainings,France,no
3813,Prasanna Ravindranath,136,"{'Prasanna Ravindranath', 'Avinash Ravindranath,Prasanna Prasad,Harini Ravindranath'}",[ 26 102   8],High,online,others,Remote,no
3814,Aruna Ravindranath,6,"{'Avinash Prakash,Harini Ravindranath,Prasanna Ravindranath,Prasanna Prasad', 'Aruna Ravindranath'}",[4 1 1],Low,hybrid,others,France,yes
3815,Vaishali Ravindranath,68,"{'Harini Raj,Avinash Raj', 'Vaishali Ravindranath'}",[13 45 10],High,hybrid,others,Romania,no
3816,Harini Prakash,146,"{'Harini Prasad,Avinash Prakash,Harini Prasad,Prasanna Prasad,Avinash Ravindranath,Prasanna Ravindranath,Prasanna Prasad', 'Harini Prakash'}",[48 34 64],Low,in_office,employee_engagement,India,no
3817,Prasanna Prakash,179,"{'Vaishali Raj,Harini Raj,Divya Raj,Avinash Prasad', 'Prasanna Prakash'}",[14 82 83],High,online,project_discussion,India,yes
3818,Divya Raj,76,"{'Avinash Prasad,Prasanna Ravindranath,Harini Prasad,Surya Prasad,Prasanna Ravindranath,Harini Raj,Avinash Ravindranath,Aruna Ravindranath', 'Divya Raj'}",[ 5 28 43],Low,online,employee_engagement,Remote,yes
3819,Divya Prasad,128,"{'Avinash Ravindranath,Prasanna Ravindranath,Harini Raj', 'Divya Prasad'}",[47  7 74],High,in_office,trainings,Remote,no
3820,Divya Prasad,51,"{'Vaishali Raj,Prasanna Prakash', 'Divya Prasad'}",[ 0  1 50],High,in_office,project_discussion,Remote,yes
3821,Harini Prasad,148,"{'Vaishali Ravindranath,Prasanna Prakash,Avinash Prasad', 'Harini Prasad'}",[99 12 37],Low,in_office,others,Remote,no
3822,Aruna Prakash,61,"{'Aruna Prakash', 'Aruna Prasad,Prasanna Prakash'}",[39 22  0],Medium,online,employee_engagement,India,no
3823,Harini Raj,60,"{'Harini Raj', 'Surya Prasad,Vaishali Ravindranath,Harini Prakash'}",[ 9  2 49],High,hybrid,others,Remote,no
3824,Avinash Prakash,50,"{'Avinash Prakash', 'Surya Prakash,Prasanna Prakash,Avinash Raj,Harini Ravindranath,Harini Raj'}",[47  0  3],Medium,in_office,employee_engagement,France,no
3825,Prasanna Prasad,177,"{'Prasanna Prasad', 'Prasanna Raj,Vaishali Raj,Avinash Ravindranath,Surya Prakash,Avinash Prakash,Surya Raj'}",[23 86 68],High,online,others,India,no
3826,Aruna Prasad,153,"{'Harini Ravindranath,Avinash Prasad,Prasanna Ravindranath,Vaishali Raj,Vaishali Raj,Avinash Prasad,Aruna Prakash,Vaishali Prakash,Avinash Ravindranath', 'Aruna Prasad'}",[23 48 82],High,in_office,others,Remote,yes
3827,Aruna Raj,22,"{'Aruna Raj', 'Harini Prasad,Aruna Prakash,Avinash Raj,Surya Ravindranath,Harini Prakash'}",[9 4 9],Medium,online,project_discussion,Remote,no
3828,Surya Prasad,76,"{'Surya Raj,Vaishali Raj,Prasanna Ravindranath,Prasanna Prasad,Surya Prakash,Vaishali Ravindranath,Vaishali Prasad,Divya Prasad', 'Surya Prasad'}",[35  6 35],High,online,trainings,India,no
3829,Vaishali Raj,33,"{'Aruna Prakash,Harini Ravindranath,Prasanna Prakash,Surya Prakash,Vaishali Ravindranath,Divya Prakash', 'Vaishali Raj'}",[21  8  4],Low,online,others,Remote,yes
3830,Avinash Prakash,117,"{'Surya Prakash,Surya Prakash,Avinash Raj,Aruna Prakash,Aruna Prakash,Vaishali Prakash', 'Avinash Prakash'}",[31 29 57],Low,in_office,employee_engagement,France,no
3831,Divya Prasad,55,"{'Aruna Ravindranath,Avinash Prasad,Aruna Ravindranath,Vaishali Prakash,Divya Prakash,Divya Raj,Avinash Raj,Harini Prasad,Avinash Raj', 'Divya Prasad'}",[24 31  0],Low,online,others,India,no
3832,Vaishali Raj,89,"{'Prasanna Prakash,Aruna Prasad,Surya Prakash', 'Vaishali Raj'}",[44 41  4],Medium,online,employee_engagement,Remote,no
3833,Harini Prakash,14,"{'Harini Prakash', 'Harini Ravindranath,Prasanna Ravindranath,Harini Prasad,Divya Ravindranath,Aruna Prasad'}",[ 2 12  0],Medium,online,project_discussion,India,yes
3834,Aruna Ravindranath,64,"{'Aruna Ravindranath', 'Surya Prakash,Avinash Ravindranath,Vaishali Ravindranath,Divya Raj'}",[ 5 17 42],Low,online,others,Romania,yes
3835,Harini Raj,69,"{'Aruna Prakash,Surya Prakash,Avinash Ravindranath,Prasanna Prasad,Avinash Raj,Avinash Raj,Avinash Prakash,Harini Prakash', 'Harini Raj'}",[ 2 66  1],Medium,online,trainings,France,no
3836,Prasanna Ravindranath,141,"{'Vaishali Prakash,Surya Ravindranath,Vaishali Prakash', 'Prasanna Ravindranath'}",[24 79 38],Low,online,trainings,India,no
3837,Avinash Prakash,41,"{'Avinash Prakash', 'Harini Prakash,Surya Raj,Prasanna Ravindranath,Aruna Prasad'}",[ 2 36  3],High,hybrid,others,Romania,yes
3838,Surya Prakash,120,"{'Harini Raj,Divya Raj,Harini Prasad,Prasanna Ravindranath,Aruna Prasad,Harini Prasad,Vaishali Prasad,Aruna Raj,Surya Prakash', 'Surya Prakash'}",[104   2  14],Medium,online,project_discussion,Romania,no
3839,Harini Raj,143,"{'Prasanna Prasad,Divya Raj,Surya Ravindranath,Divya Ravindranath,Harini Raj,Surya Prasad,Divya Prasad,Surya Prakash,Aruna Ravindranath,Harini Raj', 'Harini Raj'}",[88 16 39],Medium,online,employee_engagement,France,no
3840,Divya Prasad,85,"{'Aruna Raj,Harini Prasad,Vaishali Prakash,Harini Prakash,Avinash Prasad,Divya Prasad,Prasanna Prasad', 'Divya Prasad'}",[83  2  0],High,in_office,project_discussion,India,yes
3841,Avinash Ravindranath,134,"{'Avinash Raj,Avinash Raj,Vaishali Prasad,Harini Ravindranath,Surya Ravindranath', 'Avinash Ravindranath'}",[44 45 45],High,online,trainings,Remote,no
3842,Aruna Raj,13,"{'Aruna Raj', 'Divya Prakash,Avinash Prakash,Avinash Prakash,Divya Ravindranath,Prasanna Raj,Divya Prasad,Harini Prakash,Divya Raj,Divya Raj'}",[2 6 5],Medium,online,others,Romania,yes
3843,Vaishali Ravindranath,60,"{'Surya Raj,Aruna Ravindranath', 'Vaishali Ravindranath'}",[22 12 26],Medium,hybrid,employee_engagement,Romania,yes
